省份,城市,年辐射量
北京,北京,1536.65
天津,天津,1668.05
河北,石家庄,1536.65
河北,秦皇岛,1649.80
河北,唐山,1606.00
山西,太原,1527.02
山西,大同,1693.60
山西,临汾,1624.25
内蒙古,呼和浩特,2035.38
内蒙古,包头,1755.65
内蒙古,赤峰,1744.70
辽宁,沈阳,1598.70
辽宁,大连,1744.70
辽宁,鞍山,1693.60
吉林,长春,1730.10
吉林,吉林市,1708.20
吉林,延吉,1558.55
黑龙江,哈尔滨,1569.50
黑龙江,齐齐哈尔,1755.65
黑龙江,大庆,1682.65
上海,上海,1492.85
江苏,南京,1420.70
江苏,苏州,1245.10
江苏,徐州,1606.00
浙江,杭州,1237.20
浙江,宁波,1314.16
浙江,温州,1245.10
安徽,合肥,1329.90
安徽,芜湖,1327.65
安徽,黄山,1243.32
福建,福州,1245.10
福建,厦门,1344.91
福建,泉州,1344.91
江西,南昌,1371.40
江西,赣州,1243.32
江西,九江,1327.65
山东,济南,1599.40
山东,青岛,1544.63
山东,烟台,1689.95
河南,郑州,1455.80
河南,洛阳,1369.10
河南,南阳,1332.00
湖北,武汉,1370.70
湖北,宜昌,1204.82
湖北,襄阳,1243.32
湖南,长沙,1158.90
湖南,衡阳,1106.34
湖南,岳阳,1217.30
广东,广州,1270.20
广东,深圳,1344.91
广东,珠海,1303.29
广西,南宁,1273.40
广西,桂林,1217.30
广西,柳州,1217.30
海南,海口,1351.00
四川,成都,1030.40
四川,攀枝花,1506.69
四川,西昌,1558.55
贵州,贵阳,1023.50
贵州,遵义,1045.64
贵州,六盘水,1023.50
云南,昆明,1533.30
云南,大理,1625.36
云南,丽江,1752.00
西藏,拉萨,2415.10
西藏,日喀则,2192.35
西藏,林芝,1920.11
陕西,西安,1295.20
陕西,延安,1463.73
陕西,宝鸡,1321.47
甘肃,兰州,1584.20
甘肃,酒泉,1920.52
甘肃,敦煌,1852.23
青海,西宁,1961.70
青海,格尔木,2105.48
青海,玉树,1798.11
宁夏,银川,1961.50
宁夏,石嘴山,1852.23
宁夏,吴忠,1617.78
新疆,乌鲁木齐,1659.40
新疆,哈密,1927.18
新疆,喀什,1855.00